"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF" 
"미쳤네 디즈니플러스 다더빙판입니다 아열받아 내돈내놔.","미치/VV|었/EPT|네/EFN|디즈니플러스/NNG|다/MAG|더빙/NNG|판/XSN|이/VCP|ㅂ니다/EFN|아/IC|열받/VV|아/ECD|내/NP|돈/NNG|내노/VV|아/ECS|./SF"
"멀티 안되는거 실화냐고.","멀티/NNG|안/MAG|되/XSV|는/ETD|거/NNB|실화/NNG|이/VCP|냐/EFQ|고/JKQ|./SF"
"내 티비에서 재생이 안됌 가끔 돼면 느려터짐 결제 취소 고려중.","내/NP|티비/NNG|에서/JKM|재생/NNG|이/JKS|안/MAG|되/VV|ㅁ/ETN|가끔/MAG|되/VV|면/ECE|느리/VV|어/ECS|트/VV|어/ECS|짐/NNG|결제/NNG|취소/NNG|고려/NNP|중/NNB|./SF"
"제발 자막크키 조절좀 하게 해줘 개미떵구멍만해서 안구 돌출될듯.","제발/MAG|자막/NNG|크키/UN|조절/NNG|좀/MAG|하/VV|게/ECD|하/VV|어/ECS|주/VXV|어/ECS|개미/NNG|떵/UN|구멍/NNG|만/JX|하/VV|어서/ECD|안구/NNG|돌출/NNG|되/XSV|ㄹ/ETD|듯/NNB|./SF"
"만달로니안 보다가 다음화로 넘어가면 자막이 안나오네요. 자막 한글 설정후 나갔다가 다시들어가야 자막이 나오고.뭐가 문제인지.확인 부탁합니다.","만달/NNG|로/JKM|니/NP|안/MAG|보/VV|다가/ECD|다음/NNG|화/XSN|로/JKM|넘/VV|면/ECE|자막/NNG|이/JKS|안/MAG|나오/VV|네요/EFN|./SF|자막/NNG|한글/NNG|설정/NNG|후/NNG|나가/VV|었/EPT|다가/ECD|다시/MAG|들어가/VV|아야/ECD|자막/NNG|이/JKS|나오/VV|고/ECE|./SF|뭐/NP|가/JKS|문제/NNG|이/VCP|ㄴ지/ECD|./SF|확인/NNG|부탁/NNG|하/XSV|ㅂ니다/EFN|./SF"
"설치가 안댐.","설치/NNG|가/JKS|알/VV|ㄴ/ETD|댐/NNG|./SF"
"가입하고 폰 태블릿 PC TV 설치완료 했습니다 넘 기다리던 OTT라 반갑고 자잘한 오류같은거는 차차 좋아질거라 보입니다.","가입/NNG|하/XSV|고/ECE|스마트폰/NNG|태블릿/NNG|PC/OL|TV/OL|설치/NNG|완료/NNG|하/VV|었/EPT|습니다/EFN|넘/MAG|기다리/VV|던/EFQ|OTT/OL|라/NNG|반갑/VV|고/ECE|자잘/XR|하/XSA|ㄴ/ETD|오류/NNG|같/VA|은/ETD|거/NNB|는/JX|차차/MAG|좋아지/VV|ㄹ/ETD|거/NNB|이/VCP|라/EFN|보/VV|ㅂ니다/EFN|./SF"
"자막좀 빨리수정해주시길 자막뒤에 검은색 눈에 거슬려요.","자막/NNG|좀/MAG|빨리/MAG|수정/NNG|하/XSV|어/ECS|주시/NNG|길/NNG|자막/NNG|뒤/NNG|에/JKM|검정색/NNG|눈/NNG|에/JKM|거슬리/VV|어요/EFN|./SF"
"대박이에요.디즈니 일로와 뽀뽀해줄게.","대박/NNG|이/VCP|에요/EFN|./SF|디즈니/NNG|일로/NNG|와/JKM|뽀뽀/NNG|하/XSV|어/ECS|주/VXV|ㄹ게/EFN|./SF"
"컨텐츠는 맘에 드는데 번역상태 왜 이럼? 자막상태도 엉망이고 기기따라 자막이 붕 뜨는 현상도 있음. 유튜브로 런칭기념인지 뭔지 할 시간에 기본은 제대로 하고 하자. 일단 계속 구독은 할껀데 개선 안하면 탈주각임.","컨텐츠/NNG|는/JX|맘/NNG|에/JKM|드/VV|는데/ECD|번역/NNG|상태/NNG|왜/MAG|이러/VV|ㅁ/ETN|?/SF|자막/NNG|상태/NNG|도/JX|엉망/NNG|이/VCP|고/ECE|기기/NNG|따르/VV|아/ECS|자막/NNG|이/JKS|붕/MAG|뜨/VV|는/ETD|현상/NNG|도/JX|있음/NNG|./SF|유튜브/NNG|로/JKM|런/NNG|칭/NNM|기념/NNG|이/VCP|ㄴ지/ECD|무엇/NNG|이/VCP|ㄴ지/ECD|하/VV|ㄹ/ETD|시간/NNG|에/JKM|기본/NNG|은/JX|제대로/MAG|하/VV|고/ECE|하/VV|자/ECE|./SF|일단/MAG|계속/NNG|구독/NNG|은/JX|하/VV|ㄹ/ETD|꺼/VV|ㄴ/ETD|데/NNB|개선/NNG|안/MAG|하/XSV|면/ECE|탈주/NNG|각/MDT|임/NNG|./SF"
"자막이 변역기 돌린거마냥 수준이 아쉽습니다 개선쫌요.","자막/NNG|이/JKS|변/NNG|역기/NNG|돌리/VV|ㄴ/ETD|거/NNB|마냥/MAG|수준/NNG|이/JKS|아쉽/VA|습니다/EFN|개선/NNG|쫌/MAG|요/JX|./SF"
"앱 자체가 실행이 되지 않습니다.","앱/NNG|자체/NNG|가/JKS|실행/NNG|이/JKC|되/VV|지/ECD|안/MAG|습니다/EFN|./SF"
"1. 1.25배속 1.5배속으로 보기 만들어주세요 2. 관심 컨텐츠 항목 홈 화면에서 볼 수 있게 해주세요.","1/NR|./SF|1.25/NR|배속/NNG|1.5/NR|배속/NNG|으로/JKM|보기/NNG|만들/VV|어/ECD|주/VXV|세요/EFN|2/NR|./SF|관심/NNG|컨텐츠/NNG|항목/NNG|홈/NNG|화면/NNG|에서/JKM|보/VV|ㄹ/ETD|수/NNB|있/VV|게/ECD|하/VV|어/ECS|주/VXV|세요/EFN|./SF"
"아이가 디즈니 애니메이션 좋아해서 1년결제했는데요 왕실탐정 미라는 왜없나요?","아이/NNG|가/JKS|디즈니/NNG|애니메이션/NNG|좋/VV|어서/ECD|1/NR|년/NNM|결제/NNG|하/XSV|었/EPT|는데요/ECD|왕실/NNG|탐정/NNG|미라/NNG|는/JX|왜/MAG|없/VA|나요/EFQ|?/SF"
"경고문을 좀 더 크게해서 정면에 배치하고 영상을 왼쪽상단에 작게 쳐박아버리는건 어떻까요? 경고문을 돈받고 파는거 같은데.","경고문/NNG|을/JKO|좀/MAG|더/MAG|크/VA|게/ECD|하/VV|어서/ECD|정면/NNG|에/JKM|배치/NNG|하/XSV|고/ECE|영상/NNG|을/JKO|왼쪽/NNG|상단/NNG|에/JKM|작/VA|게/ECD|치/VV|어/ECS|박/VV|아/ECD|버리/VXV|는/ETD|건/NNG|어떻까/UN|요/JX|?/SF|경고문/NNG|을/JKO|돈/NNG|받/VV|고/ECE|팔/VV|는/ETD|거/NNB|같/VA|은데/ECD|./SF"
"휴대폰 영상배속재생기능 팝업창보기 기능 추가 해주세욤.","스마트폰/NNG|영상/NNG|배속재생/NNG|기능/NNG|팝업/NNG|창/NNG|보기/NNG|기능/NNG|추가/NNG|해/NNG|주/NNG|세욤/UN|./SF"
"서비스 품목을 알려면 결제부터 해야합니다 막상 결제하고 원하는 영상이 없다는걸 알고난 그때의 좌절감은. 어릴때보던 디즈니 생각하고 가입하면 원하는게 너무 없다는걸 알게됩니다. 나의 디즈니는 어디로 간걸까요.","서비스/NNG|품목/NNG|을/JKO|알/VV|려면/ECE|결제/NNG|부터/JX|하/VV|어야/ECD|하/VV|ㅂ니다/EFN|막/MAG|상/NNG|결제/NNG|하/XSV|고/ECE|원하/VV|는/ETD|영상/NNG|이/JKS|없/VA|다는/ETD|것/NNB|을/JKO|알/VV|고/ECE|나/NP|는/JX|그때/NNG|의/JKG|좌절감/NNG|은/JX|./SF|어리/VV|ㄹ/ETD|때/NNG|보/VV|더/EPT|ㄴ/ETD|디즈니/NNG|생각/NNG|하/XSV|고/ECE|가입/NNG|하/XSV|면/ECE|원하/VV|는/ETD|것/NNB|이/JKS|너무/MAG|없/VA|다는/ETD|것/NNB|을/JKO|알/VV|게/ECD|되/VV|ㅂ니다/EFN|./SF|나의/NNG|디즈니/NNG|는/JX|어디/NP|로/JKM|간/NNG|걸/VV|ㄹ까요/EFQ|./SF"
"드디어 나와서 좋긴한데 일부영화 인크레더블2 볼 때 음성이랑 자막이랑 싱크가 안 맞음 자막이 0.5초 더 빠름 컴터로 보는데 소리를 최대로 키워도 너무 작음 빨리 개선바람.","드디어/MAG|나오/VV|아서/ECD|좋/VA|기/ETN|는/JKS|한데/NNG|일부/NNG|영화/NNG|이/VCP|ㄴ/ETD|크레/UN|더블/NNG|2/NR|보/VV|ㄹ/ETD|때/NNG|음성/NNG|이랑/JC|자막/NNG|이랑/JC|싱크/NNG|가/JKS|안/MAG|맞/XPN|음/NNG|자막/NNG|이/JKS|0.5/NR|초/NNM|더/MAG|빠르/VA|ㅁ/ETN|컴퓨터/NNG|로/JKM|보/VV|는데/ECD|소리/NNG|를/JKO|최대/NNG|로/JKM|키우/VV|어도/ECD|너무/MAG|작/NNM|음/NNG|빨리/MAG|개선/NNG|바람/NNG|./SF"
"결제를하지않고서는 뭐가있는지 볼수도없네.","결제/NNG|를/JKO|하/VV|지/ECD|안/MAG|고서/ECD|는/JX|뭐/NP|가/JKS|있/VV|는지/ECS|보/VV|ㄹ/ETD|수/NNB|도/JX|없/VA|네/EFN|./SF"
"아니 모바일 기기에서 성인인증하기 위해 비번을 누르라고 뜨기만하고 자판이 안 묵는건 무슨 경우지?","아니/IC|스마트폰/NNG|기기/NNG|에서/JKM|성인/NNG|인증/NNG|하/XSV|기/ETN|위하/VV|어/ECS|비번/NNG|을/JKO|누르/VV|라/ECD|고/NNG|뜨/VV|기/ETN|만/JX|하/VV|고/ECE|자판/NNG|이/JKS|안/MAG|묵/VV|는/ETD|것/NNB|은/JKS|무슨/MDT|경/NNG|우지/NNG|?/SF"
"성인인증 하려는데 PIN번호가 안눌러지네요.","성인/NNG|인증/NNG|하/VV|려는/ETD|데/NNB|PIN/OL|번호/NNG|가/JKS|안/MAG|누르/VV|어/ECS|지/VXV|네요/EFN|./SF"
"돈즈니의 노예가 되어보잣.","돈즈니/UN|의/JKG|노예/NNG|가/JKC|되/VV|어/ECD|보잣/UN|./SF"
"해밀턴 자막없는거 뭡니까? 디즈니플러스가 한국에 들어왔으면 적어도 한국어자막이 있어야하는거 아닙니까? 이런성의없는 경우는 무엇인지요? 일년결제했는데 실망스럽네요.","해밀턴/NNG|자막/NNG|없/VA|는/ETD|거/NNB|무엇/NP|이/VCP|ㅂ니까/EFQ|?/SF|디즈니플러스/NNG|가/JKS|한국/NNG|에/JKM|들어오/VV|았/EPT|으면/ECD|적어도/MAG|한국어/NNG|자막/NNG|이/JKS|있/VV|어야/ECD|하/VV|는/ETD|거/NNB|아니/VCN|ㅂ니까/EFQ|?/SF|이런/MDT|성의/NNG|없/VA|는/ETD|경우/NNG|는/JX|무엇/NP|이/VCP|ㄴ지요/EFQ|?/SF|일/NR|년/NNM|결제/NNG|하/XSV|었/EPT|는데/ECD|실망/NNG|스럽/XSA|네요/EFN|./SF"
"그냥 짱.","그냥/MAG|짱/NNG|./SF"
"기사엔 샹치와 텐 링즈 있다던데 없네요 첫판부터 장난질 입니까? 콘테츠도 생각보다 없네요.","기사/NNG|에/JKM|는/JX|샹치/UN|와/JKO|터/NNB|이/VCP|ㄴ/ETD|링/NNG|즈/UN|있다/MAG|덜/VV|ㄴ/ETD|데/NNB|없/VA|네요/EFN|첫판/NNG|부터/JX|장난질/NNG|이/VCP|ㅂ니까/EFQ|?/SF|콘테츠/UN|도/JX|생각/NNG|보다/JKM|없/VA|네요/EFN|./SF"
"갤럭시도 PIP모드 지원좀.","갤럭시/NNG|도/JX|PIP/NNG|모드/NNG|지원/NNG|좀/MAG|./SF"
"다좋은데 자막의 검은배경이 눈에 거슬림. 다른 기기에서는 자막배경을 안보이게 되는데 폰 버전만 왜 안되는지? 이거 고쳐 주시길.","다/MAG|좋/VA|은데/ECD|자막/NNG|의/JKG|검/VA|은/ETD|배경/NNG|이/JKS|눈/NNG|에/JKM|거슬리/VV|ㅁ/ETN|./SF|다르/VV|ㄴ/ETD|기기/NNG|에서/JKM|는/JX|자막/NNG|배경/NNG|을/JKO|안/MAG|보/VV|게/ECD|되/VV|는데/ECD|스마트폰/NNG|버전/NNG|만/JX|왜/MAG|안/MAG|되/VV|는지/ECS|?/SF|이거/NP|고치/VV|어/ECS|주시/NNG|길/NNG|./SF"
"영상 배속조절이 없는게 많이 아쉽네요. 요즘 적용 안되는 프로그램이 거의 없는데 진짜 그것만 있으면 완전 좋을거 같아요.","영상/NNG|배속/NNG|조절/NNG|이/JKS|없/VA|는/ETD|것/NNB|이/JKS|많이/MAG|아쉽/VA|네요/EFN|./SF|요즘/NNG|적용/NNG|안/MAG|되/XSV|는/ETD|프로그램/NNG|이/JKS|거의/MAG|없/VA|는데/ECD|진짜/MAG|그것/NP|만/JX|있/VV|으면/ECD|완전/NNG|좋/VA|을/ETD|거/NNB|같/VA|아요/EFN|./SF"
"너무 좋음 근데 앱이 쓰레기같음 오늘 오류만 5번에 3번 삭제했다가 다시 까는 중.","너무/MAG|좋/VA|음/ETN|그/VA|ㄴ데/ECE|앱/NNG|이/JKS|쓰레기/NNG|같/VA|음/ETN|오늘/NNG|오류/NNG|만/JX|5/NR|번/NNM|에/JKM|3/NR|번/NNM|삭제/NNG|하/XSV|었/EPT|다가/ECD|다시/MAG|깔/VV|는/ETD|중/NNB|./SF"
"오 마블 다나온다야.","오/NNG|마블/NNG|다/MAG|나오/VV|ㄴ다/ECS|야/JX|./SF"
"심슨 보려고 1년구독 넣었음돠 시즌30개 . 스타워즈랑 디즈니애니포함 자막이 좀 투박한데 점차 세련되게 개선되길 기대해요.","심/NNG|슬/VV|ㄴ/ETD|보/VV|려고/ECD|1/NR|년/NNM|구/NNG|독/NNG|넣/VV|었/EPT|음/ETN|도/VV|아/ECS|시즌/NNG|30/NR|개/NNM|./SF|스타워즈/NNG|랑/JC|디즈니/NNG|애니메이션/NNG|포함/NNG|자막/NNG|이/JKS|좀/MAG|투박/XR|하/XSA|ㄴ데/ECE|점차/MAG|세련/NNG|되/XSV|게/ECD|개선/NNG|되/XSV|기/ETN|를/JKO|기대/NNG|하/XSV|어요/EFN|./SF"
"구독은 했는데 설치가 안됩니다.","구독/NNG|은/JX|하/VV|었/EPT|는데/ECD|설치/NNG|가/JKS|안/MAG|되/VV|ㅂ니다/EFN|./SF"
"21.11.12 오늘 한국 상륙 역시 디플 최고에요.","21.11/NR|./SF|12/NR|오늘/NNG|한국/NNG|상륙/NNG|역시/MAG|디즈니플러스/NNG|최고/NNG|에/JKM|요/JX|./SF"
"디즈니 콘텐츠야 말해 뭐해요 그.런.데. 어플 이용해 폰으로 시청할때는 불편하네요 어플에 PIP가 적용되어도 팝업창이 안되요 설정하는 다른 방법이 있는건데 제가 모르는건지 모르겠는데 팝업창이 안되다니.많이 불편하네요.","디즈니/NNG|콘텐츠/NNG|야/JX|말하/VV|어/ECS|뭐하/VV|어요/EFN|그/MDT|./SF|런/NNG|./SF|데/NNB|./SF|앱/NNG|이용/NNG|하/XSV|어/ECS|스마트폰/NNG|으로/JKM|시청/NNG|하/XSV|ㄹ/ETD|때/NNG|는/JX|불편/NNG|하/XSV|네요/EFN|앱/NNG|에/JKM|PIP/NNG|가/JKS|적용/NNG|되/XSV|어/ECD|도/JX|팝업/NNG|창/NNG|이/JKS|안/MAG|되/VV|어요/EFN|설정/NNG|하/XSV|는/ETD|다른/MDT|방법/NNG|이/JKS|있/VV|는/ETD|것/NNB|이/VCP|ㄴ데/ECD|제가/NNG|모르/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|모르/VV|겠/EPT|는데/ECD|팝업/NNG|창이/NNG|안/MAG|되/XSV|다니/EFN|./SF|많이/MAG|불편/NNG|하/XSV|네요/EFN|./SF"
"디즈니 알라뷰.","디즈니/NNG|알/VV|ㄹ라/ECD|뷰/NNG|./SF"
"결제된 계정으로 로그인했는데 왜 로그인이 안되나요.","결제/NNG|되/XSV|ㄴ/ETD|계정/NNG|으로/JKM|로그인/NNG|하/XSV|었/EPT|는데/ECD|왜/MAG|로그인/NNG|이/JKS|안/MAG|되/VV|나요/EFQ|./SF"
"디플은 돌비가 아닌 DTS를 지원합니다. 그리고 화질 좀 개선해주길 바람 4K급 화질로 설정했는데 720P로 보여짐 . 토렌트에거 다운 받은 화질같아 좀 그럼.","디즈니플러스/NNG|은/JX|돌비/NNG|가/JKS|아니/VV|ㄴ/ETD|DTS/OL|를/JKO|지원/NNG|하/XSV|ㅂ니다/EFN|./SF|그리고/MAG|화질/NNG|좀/MAG|개선/NNG|하/XSV|어/ECS|주/VXV|기/ETN|를/JKO|바람/NNG|화질/NNG|급/NNG|화질/NNG|로/JKM|설정/NNG|하/XSV|었/EPT|는데/ECD|화질/NNG|P/OL|로/JKM|보/VV|어/ECS|짐/NNG|./SF|토/NNG|렌트/NNG|에/JKM|그/VV|어/ECS|다운/NNG|받/VV|은/ETD|화질/NNG|같/VA|아/ECD|좀/MAG|그러/VV|ㅁ/ETN|./SF"
"정식 런칭 전에 지들이 받아놓고 별 한개 달아놓은 매크로식 두뇌로 연결된 인간들이 참 많군용.","정식/NNG|런/NNG|칭/NNM|전에/UN|지/ECS|들이/VV|받아놓고/UN|별/NNG|한/MDN|개/NNM|달/VV|아/ECD|놓/VXV|은/ETD|매크로/NNG|식/NNG|두뇌/NNG|로/JKM|연결/NNG|되/XSV|ㄴ/ETD|인간/NNG|들/XSN|이/JKS|참/MAG|많/VA|군요/EFI|./SF"
"엥 왜 구글계정을 맘대로 암 거나 찍어서 결제를 못하게 해놨죠? 돈내고 보겠다는 보지 말라고 하네 앱을 누가 만들었는지 광고를 몇일째 돈 쏟아부어서 해놓고 결제 테스트도 제대로 안해본건가.","엥/IC|왜/MAG|구글/NNG|계정/NNG|을/JKO|맘대로/MAG|암/NNG|걸/VV|나/ECE|찍/VV|어서/ECD|결제/NNG|를/JKO|못하/VX|게/ECD|하/VV|어/ECS|놓/VV|았/EPT|죠/EFN|?/SF|돈/NNG|내/VV|보/VV|겠/EPT|다는/ETD|보지/NNG|말/VV|ㄹ라고/EFQ|하/VV|네/EFN|앱/NNG|을/JKO|누/NNG|가/JKS|만들/VV|었/EPT|는지/ECS|광고/NNG|를/JKO|몇/MDT|일/NNG|째/XSN|돈/NNG|쏟아붓/VV|어서/ECD|하/VV|어/ECS|놓/VXV|고/ECE|결제/NNG|테스트/NNG|도/JX|제대로/MAG|안/MAG|해보/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ가/EFQ|./SF"
"빅 히어로 시즌1은 없나요?","빅/NNG|히/NNG|어로/NNG|시즌/NNG|1/NR|은/JX|없/VA|나요/EFQ|?/SF"
"넘 기대를 많이 해서 그른가 상당히 실망이네요. 배속 안되는건 뭐 안되는 다른 OTT 서비스도 많으니까 이해하는데 밝기 조절 음량조절 이나 자막 크기 조절 같은 간단한 것도 아직은 제공을 하지 않네요. 아직 자막 지원하지 않는 작품들도 꽤 있는것 같고요. 또 한달 무료 아니 최소한의 2주 무료 이용조차도 없는게 불친절하고 결제를 해야지 무슨컨텐츠들이 있는지 둘러볼수 있네요. 이런것들이 개선되지 않는다면 이번 한달이 마지막 이용이 될것같습니다 괜히 넷플이 시장 1위겠어요. 다 이유가 있더라고요.","넘/NNB|기대/NNG|를/JKO|많이/MAG|하/VV|어서/ECD|그르/VA|ㄴ가/ECS|상당히/MAG|실망/NNG|이/VCP|네요/EFN|./SF|배속/NNG|안/MAG|되/XSV|는/ETD|것/NNB|은/JKS|뭐/NP|안/MAG|되/XSV|는/ETD|다른/MDT|OTT/OL|서비스/NNG|도/JX|많/VA|으니까/ECD|이해/NNG|하/XSV|는데/ECD|밝기/NNG|조절/NNG|음량/NNG|조절/NNG|이/VCP|나/ECE|자막/NNG|크기/NNG|조절/NNG|같/VA|은/ETD|간단/XR|하/XSA|ㄴ/ETD|것/NNB|도/JX|아직/MAG|은/JX|제공/NNG|을/JKO|하/VV|지/ECD|안/MAG|네요/EFN|./SF|아직/MAG|자막/NNG|지원/NNG|하/XSV|지/ECD|안/MAG|는/ETD|작품/NNG|들/XSN|도/JX|꽤/MAG|있/VV|는/ETD|것/NNB|같/VA|고요/EFN|./SF|또/MAG|한/MDN|달/NNG|무료/NNG|아니/IC|최소한/NNG|의/JKG|2/NR|주/NNG|무료/NNG|이용/NNG|조/NR|차/NNM|도/JX|없/VA|는/ETD|것/NNB|이/JKS|불친절/NNG|하/XSV|고/ECE|결제/NNG|를/JKO|하/VV|어야지/EFN|무슨/MDT|컨텐츠/NNG|들/XSN|이/JKS|있/VV|는지/ECS|둘러보/VV|ㄹ/ETD|수/NNB|있/VV|네요/EFN|./SF|이렇/VV|ㄴ/ETD|것/NNM|들이/VV|개선되지/UN|안/MAG|는다면/ECE|이번/NNG|한/MDN|달/NNG|이/JKS|마지막/NNG|이용/NNG|이/JKC|되/VV|ㄹ/ETD|것/NNB|같/VA|습니다/EFN|괜히/MAG|넷플릭스/NNG|이/JKS|시장/NNG|1/NR|위/NNM|이/VCP|겠/EPT|어요/EFN|./SF|다/MAG|이유/NNG|가/JKS|있/VV|더/EPT|라고요/EFN|./SF"
"뭐 있나 보고 싶어 받아봤는데 결제부터 하라고하고. 뭐가 있는지 봐야 결제를 할지 말지 정하지 않나요?","뭐/NP|있/VV|나/EFQ|보/VV|고/ECE|싶/VXA|어/ECD|받/VV|아/ECD|보/VV|았/EPT|는데/ECD|결제/NNG|부터/JX|하라/NNP|이/VCP|고/ECE|하/VV|고/ECE|./SF|뭐/NP|가/JKS|있/VV|는지/ECS|보/VV|아야/ECD|결제/NNG|를/JKO|하/VV|ㄹ지/ECD|말/VXV|ㄹ지/ECD|정하/VV|지/ECD|안/MAG|나요/EFQ|?/SF"
"운영 이따구로 하지 마세요.","운영/NNG|이따/MAG|구로/NNG|하/VV|지/ECD|마/VV|세요/EFN|./SF"
"오늘 잠깐결제해서 봤는데 미드 슈퍼내츄럴 폭스건데도 업로드안됐고 디즈니명작 반절이상이 자막없고 더빙이 대부분이고 볼품없음 준비안된상태에서 런칭한거같음 무료기간을 주는것도아님 디즈니 고객센터 전화해서30분만에 통화됐는데 상담사가 환불해주라는말에 환불된다는 말도 안해줌 절차도 모르고이상한 전화번호 알려주고 구근플레이가서 다시 알아보라고함 오늘 1시간 손해봄 자막 나오는지 체그만하고 아예안봤는데 환불안해주면 방통위나 어디다가 해야하나 무튼 가만히 안있을꺼임.","오늘/NNG|잠깐/MAG|결/NNG|제하/VV|어서/ECD|보/VV|았/EPT|는데/ECD|미드/NNG|슈퍼/NNG|내/NNB|츄럴/UN|폭스/NNG|건데/MAG|도/JX|업로드/NNG|안/MAG|되/XSV|었/EPT|고/ECE|디즈니/NNG|명작/NNG|반절/NNG|이상/NNG|이/JKS|자막/NNG|없/VA|고/ECE|더빙/NNG|이/JKS|대부분/NNG|이/VCP|고/ECE|볼품없/VA|음/ETN|준비/NNG|안/MAG|되/XSV|ㄴ/ETD|상태/NNG|에서/JKM|런/NNG|칭/NNM|하/XSA|ㄴ/ETD|거/NNB|같/VA|음/ETN|무료/NNG|기간/NNG|을/JKO|주/VV|는/ETD|것/NNB|도/JX|아/VV|아/ECS|님/NNG|디즈니/NNG|고객/NNG|센터/NNG|전화/NNG|하/XSV|어서/ECD|30/NR|분만/NNG|에/JKM|통화/NNG|되/XSV|었/EPT|는데/ECD|상담/NNG|사가/NNG|환불/NNG|하/XSV|어/ECS|주/VXV|라는/ETD|말/NNG|에/JKM|환불/NNG|되/XSV|ㄴ다는/ETD|말/NNG|도/JX|안해/NNG|줌/NNG|절차/NNG|도/JX|모르/VV|고/ECE|이상한/NNG|전화번호/NNG|알려주/VV|고/ECE|구근/NNG|플레이/NNG|가/JKS|스/VV|어/ECS|다시/MAG|알아보/VV|라/ECD|고함/NNG|오늘/NNG|1/NR|시간/NNG|손해/NNG|봄/NNG|자막/NNG|나오/VV|는지/ECS|체/NNG|그만/MAG|하/VV|고/ECE|아예/MAG|안/MAG|보/VV|았/EPT|는데/ECD|환/NNG|불안/NNG|하/XSV|어/ECS|주/VXV|면/ECE|방통/NNG|위/NNG|나/JX|어디/NP|다그/VV|아/ECS|하/VV|어야/ECD|하/VV|나/ECE|무/NNG|트/VV|ㄴ/ETD|가만히/MAG|안/MAG|있/VV|을/ETD|꺼/NNG|임/NNG|./SF"
"너무 악플이 많아서 결제하기도 겁나네.일단 다운은 받아봤는데 들어가자마자 결제요청 넷플도 한달은 맛보라고 무료해주더만 뭐가 그리 대단하시다고 이런지 애때문에 바로해줄까했는데 그냥 악플 좀 사라질때까지 기다렸다가 생각해볼랍니다.","너무/MAG|악플/UN|이/JKS|많/VA|아서/ECD|결제/NNG|하/XSV|기/ETN|도/JX|겁나/VV|네/EFN|./SF|일단/MAG|다운/NNG|은/JX|받/VV|아/ECD|보/VV|았/EPT|는데/ECD|들어가/VV|자마자/ECE|결제/NNG|요청/NNG|넷플릭스/NNG|도/JX|한/MDN|달/NNG|은/JX|맛/NNG|보/XSN|라고/JX|무료/NNG|하/XSV|어/ECS|주더만/NNG|뭐/NP|가/JKS|그리/MAG|대단/XR|하/XSA|시/EPH|다고/EFN|이러/VV|ㄴ지/ECD|애/NNG|때문/NNB|에/JKM|바로/MAG|하/VV|어/ECS|주/VXV|ㄹ까/ECD|하/VV|었/EPT|는데/ECD|그냥/MAG|악/NNG|플/UN|좀/MAG|사라지/VV|ㄹ/ETD|때/NNG|까지/JX|기다리/VV|었/EPT|다가/ECD|생각/NNG|하/XSV|어/ECS|보/VV|ㄹ/ETD|랍니/UN|이/VCP|다/EFN|./SF"
"항공사고 수사대가 왜 없는건가요? WHERE IS AIR CRASH INVESTIGATION? SO DISAPPOINTING.","항공/NNG|사고/NNG|수사대/NNG|가/JKS|왜/MAG|없/VA|는/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|?/SF|WHERE/OL|IS/OL|AIR/OL|CRASH/OL|INVESTIGATION/OL|?/SF|SO/OL|DISAPPOINTING/OL|./SF"
"어플 화질이 너무 안좋네요. HD가 아닌것 같습니다.","앱/NNG|화질/NNG|이/JKS|너무/MAG|안/MAG|좋/VA|네요/EFN|./SF|화질/NNG|가/JKS|아니/VV|ㄴ/ETD|것/NNB|같/VA|습니다/EFN|./SF"
"썸벨리나 우리말 더빙판 제발 넣어주세요.","써/VV|ㅁ/ETN|벨리/NNG|나/JX|우리말/NNG|더빙/NNG|판/XSN|제발/MAG|넣/VV|어/ECD|주/VXV|세요/EFN|./SF"
"아싸 1빠.","아/VV|아/ECS|싸/VV|아/ECS|1/NR|빻/VV|./SF"
"기대보다 볼게 별로.","기대/NNG|보다/JKM|보/VV|ㄹ/ETD|것/NNB|이/JKS|별로/MAG|./SF"
"왜 구독하려면 이 기기에서 구글플레이 계정으로 로그인 하라는게 계속 뜨네요.","왜/MAG|구독/NNG|하/XSV|려면/ECE|이/MDT|기기/NNG|에서/JKM|구글/NNG|플레이/NNG|계정/NNG|으로/JKM|로그인/NNG|하/NNB|이/VCP|라는/ETD|것/NNB|이/JKS|계속/MAG|뜨/VV|네요/EFN|./SF"
"넷플긴장하셔야 하겠어요.","넷플릭스/NNG|긴장/NNG|하/XSV|시/EPH|어야/ECD|하/VV|겠/EPT|어요/EFN|./SF"
